trip_id,booking_id,customer_id,customer_name,gender,age,city,route_id,route_name,origin_stop,destination_stop,bus_number,bus_type,driver_id,driver_name,trip_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,distance_km,fare_inr,discount_inr,payment_mode,booking_channel,seat_number,trip_status,cancellation_reason,rating,occupancy_pct,weather,is_peak_hour,subscription_type,device_type,gps_enabled,complaint_raised
Trp000805,Bk42527071,Cust00852,Rohan Patel,O,33.0,Delhi Ncr,Rtde059,Saket - Faridabad,Saket,Faridabad,Dl48Cf5065,Non-Ac Seater,Drv0081,Divya Patel,07-Jan-2024,2026-07-30 19:30:00,Nan,2026-07-30 20:24:00,Nan,25.9,0,0.0,Nan,Mobile App,D6,Cancelled,Customer Request,4.0,58.5,Clear,0,Single Ride,Ios,1,No
Trp001483,Bk26025605,Cust00878,Lakshmi Kumar,Male,36.0,Bangalore,Rtba030,Indiranagar - Yelahanka,Indiranagar,Yelahanka,Ka34Cf7932,Ac Sleeper,Drv0081,Divya Patel,20/04/2024,2026-07-30 10:15:00,10:17,2026-07-30 10:47:00,10:49,10.1,164,33.0,Net Banking,Corporate Portal,B8,Completed,Nan,1.0,97.1,Cloudy,0,Single Ride,Android,Y,No
Trp003019,Bk19327666,Cust00330,Lakshmi Sharma,Female,35.0,Mumbai,Rtmu006,Malad West - Lower Parel,Malad West,Lower Parel,Mh36Cf5082,Ac Seater,Drv0062,Tanvi Reddy,2024-07-14,2026-07-30 10:00:00,10:00,2026-07-30 11:12:00,11:12,29.8,351,0.0,Credit Card,Mobile App,A3,Completed,Nan,2.0,39.8,Clear,No,Single Ride,Ios,1,No
Trp002003,Bk37078591,Cust00065,Ramesh Verma,Female,37.0,Mumbai,Rtmu001,Ghatkopar - Vashi,Ghatkopar,Vashi,Mh24Cf6038,Ac Sleeper,Drv0080,Aarav Bhat,2024-04-26,2026-07-30 19:35:00,19:35,2026-07-30 21:11:00,21:11,32.5,524,0.0,Debit Card,Kiosk,C7,Completed,Nan,4.0,50.5,Cloudy,Yes,Weekly Pass,Ios,True,0
Trp000949,Bk62170206,Cust00056,Isha Joshi,M,23.0,Mumbai,Rtmu001,Ghatkopar - Vashi,Ghatkopar,Vashi,Mh07Cf8062,Non-Ac Seater,Drv0042,Kiara Iyer,2024-11-08,2026-07-30 10:35:00,10:35,2026-07-30 12:21:00,12:21,32.5,360,0.0,Upi,Kiosk,B8,Completed,Nan,3.0,52.0,Rain,False,Single Ride,Web,Y,No
Trp001967,Bk23938427,Cust00557,Shalini Malhotra,F,23.0,Chennai,Rtch048,Guindy - Adyar,Guindy,Adyar,Tn21Cf9005,Ac Seater,Drv0080,Aarav Bhat,17/09/2024,2026-07-30 18:05:00,18:18,2026-07-30 18:31:00,18:44,12.9,145,0.0,Debit Card,Website,A10,Delayed-Completed,Nan,5.0,82.9,Haze,0,Weekly Pass,Web,True,0
Trp000936,Bk94173034,Cust00132,Sneha Patel,F,37.0,Delhi Ncr,Rtde054,Faridabad - Noida Sector 62,Faridabad,Noida Sector 62,Dl45Cf1090,Ac Seater,Drv0011,Siddharth Agarwal,12-Oct-2024,2026-07-30 06:00:00,06:00,2026-07-30 06:35:00,06:35,18.7,186,0.0,Wallet,Corporate Portal,D7,Completed,Nan,3.0,75.2,Clear,0,Monthly Pass,Web,1,0
Trp002312,Bk19497722,Cust00391,Saanvi Naidu,F,18.0,Pune,Rtpu017,Kharadi - Baner,Kharadi,Baner,Mh32Cf4475,Non-Ac Seater,Drv0082,Anita Bansal,30/07/2024,2026-07-30 10:40:00,10:40,2026-07-30 12:07:00,12:07,27.7,276,0.0,Wallet,Corporate Portal,D6,Completed,Nan,2.0,72.9,Clear,No,Single Ride,Android,1,1
Trp003050,Bk76773128,Cust00822,Krishna Iyer,Female,26.0,Hyderabad,Rthy031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Ts40Cf9270,Premium Ac,Drv0042,Kiara Iyer,04-May-2024,2026-07-30 20:40:00,21:02,2026-07-30 22:03:00,22:25,38.9,736,0.0,Debit Card,Website,D10,Delayed-Completed,Nan,4.0,47.6,Fog,0,Monthly Pass,Ios,True,No
Trp000037,Bk35262608,Cust01233,Ramesh Iyer,M,35.0,Chennai,Rtch045,Adyar - Tambaram,Adyar,Tambaram,Tn35Cf4228,Non-Ac Seater,Drv0085,Diya Desai,06-Sep-2024,2026-07-30 19:55:00,Nan,2026-07-30 20:40:00,Nan,20.9,0,45.0,Nan,Mobile App,C13,Cancelled,Traffic/Weather,4.0,58.5,Fog,Yes,Corporate Plan,Ios,Y,0
Trp002371,Bk48487541,Cust01303,Sai Malhotra,F,21.0,Mumbai,Rtmu004,Thane West - Bkc,Thane West,Bkc,Mh05Cf1964,Ac Sleeper,Drv0029,Ayaan Joshi,"February 10, 2024",2026-07-30 17:00:00,17:01,2026-07-30 18:31:00,18:32,41.7,658,0.0,Cash,Mobile App,B7,Completed,Nan,5.0,40.5,Heavy Rain,No,Single Ride,Android,Y,0
Trp002203,Bk93599498,Cust00824,Aditya Joshi,Female,27.0,Hyderabad,Rthy034,Gachibowli - Hitec City,Gachibowli,Hitec City,Ts15Cf5471,Premium Ac,Drv0023,Reyansh Gupta,16/09/2024,2026-07-30 06:15:00,06:15,2026-07-30 06:56:00,06:56,20.6,239,0.0,Net Banking,Website,D12,Completed,Nan,1.0,87.7,Haze,No,Corporate Plan,Android,Y,0
Trp002215,Bk95890510,Cust00415,Sneha Bansal,Female,39.0,Mumbai,Rtmu010,Ghatkopar - Lower Parel,Ghatkopar,Lower Parel,Mh46Cf8144,Ac Seater,Drv0003,Ananya Rao,2024-05-09,2026-07-30 09:20:00,09:20,2026-07-30 10:19:00,10:19,28.6,394,0.0,Wallet,Website,B2,Completed,Nan,4.0,45.2,Haze,Yes,Monthly Pass,Android,True,0
Trp003006,Bk89481035,Cust00423,Sai Bansal,Female,43.0,Delhi Ncr,Rtde051,Vasant Kunj - Saket,Vasant Kunj,Saket,Dl36Cf3546,Non-Ac Seater,Drv0065,Vikram Bansal,15/03/2024,2026-07-30 17:10:00,Nan,2026-07-30 18:24:00,Nan,25.7,0,0.0,Nan,Kiosk,D3,Cancelled,Payment Failed,4.0,58.5,Heavy Rain,Yes,Corporate Plan,Android,Yes,0
Trp000524,Bk47634250,Cust00122,Swati Gupta,Female,32.0,Mumbai,Rtmu005,Lower Parel - Mulund,Lower Parel,Mulund,Mh07Cf8119,Non-Ac Seater,Drv0064,Nikhil Naidu,08/06/2024,2026-07-30 16:00:00,16:19,2026-07-30 16:23:00,16:42,10.9,116,11.0,Debit Card,Website,D5,Delayed-Completed,Nan,4.0,72.6,Cloudy,No,Weekly Pass,Web,Y,0
Trp002188,Bk21141945,Cust00020,Ishaan Singh,M,24.0,Chennai,Rtch047,Sholinganallur - Tambaram,Sholinganallur,Tambaram,Tn31Cf9238,Ac Sleeper,Drv0058,Manoj Kulkarni,2024-02-10,2026-07-30 15:05:00,15:05,2026-07-30 16:08:00,16:08,24.1,412,0.0,Credit Card,Corporate Portal,A15,Completed,Nan,3.0,24.4,Heavy Rain,No,Single Ride,Web,Y,No
Trp001366,Bk78791077,Cust01032,Vikram Menon,Male,37.0,Chennai,Rtch047,Sholinganallur - Tambaram,Sholinganallur,Tambaram,Tn48Cf3532,Ac Sleeper,Drv0039,Ananya Pillai,2024-09-09,2026-07-30 07:45:00,Nan,2026-07-30 08:45:00,Nan,24.1,0,0.0,Nan,Corporate Portal,D13,Cancelled,Customer Request,4.0,58.5,Fog,False,Monthly Pass,Android,1,0
Trp001601,Bk18623458,Cust01141,Ishaan Verma,Male,31.0,Mumbai,Rtmu001,Ghatkopar - Vashi,Ghatkopar,Vashi,Mh16Cf7658,Premium Ac,Drv0040,Lakshmi Shah,2024-07-28,2026-07-30 06:05:00,Nan,2026-07-30 07:27:00,Nan,32.5,0,62.0,Nan,Mobile App,C3,Cancelled,Customer Request,4.0,58.5,Rain,False,Monthly Pass,Ios,True,0
Trp000840,Bk10357092,Cust00469,Anita Bansal,Female,18.0,Delhi Ncr,Rtde055,Vasant Kunj - Connaught Place,Vasant Kunj,Connaught Place,Dl46Cf9041,Premium Ac,Drv0005,Swati Patel,2024-02-18,2026-07-30 07:55:00,07:55,2026-07-30 08:11:00,08:11,8.4,131,0.0,Upi,Mobile App,A9,Completed,Nan,3.0,98.7,Cloudy,False,Corporate Plan,Android,True,No
Trp000500,Bk97971567,Cust00302,Aadhya Kulkarni,Female,33.0,Delhi Ncr,Rtde058,Faridabad - Saket,Faridabad,Saket,Dl20Cf9317,Ac Sleeper,Drv0024,Isha Patel,2024-04-10,2026-07-30 07:20:00,07:20,2026-07-30 08:02:00,Nan,22.0,365,0.0,Credit Card,Website,B8,No-Show,Payment Failed,4.0,54.8,Haze,True,Weekly Pass,Web,True,0
Trp002185,Bk44819367,Cust01124,Ramesh Sharma,M,30.0,Hyderabad,Rthy037,Kukatpally - Uppal,Kukatpally,Uppal,Ts32Cf8886,Ac Sleeper,Drv0077,Isha Malhotra,28/11/2024,2026-07-30 21:00:00,21:00,2026-07-30 21:35:00,21:35,16.0,196,0.0,Debit Card,Kiosk,C1,Completed,Nan,2.0,53.1,Cloudy,0,Monthly Pass,Web,N,1
Trp001707,Bk85891673,Cust01048,Rohan Gupta,F,22.0,Bangalore,Rtba023,Whitefield - Yelahanka,Whitefield,Yelahanka,Ka14Cf8449,Non-Ac Seater,Drv0070,Krishna Agarwal,2024-12-11,2026-07-30 10:10:00,10:24,2026-07-30 11:20:00,11:34,35.1,396,0.0,Credit Card,Website,D8,Delayed-Completed,Nan,4.0,86.2,Heavy Rain,No,Monthly Pass,Web,1,No
Trp000106,Bk98530765,Cust01029,Anika Malhotra,Male,35.0,Mumbai,Rtmu002,Andheri East - Thane West,Andheri East,Thane West,Mh05Cf3442,Ac Seater,Drv0040,Lakshmi Shah,04-Mar-2024,2026-07-30 20:30:00,20:37,2026-07-30 21:31:00,21:38,24.5,251,40.0,Upi,Mobile App,A10,Completed,Nan,1.0,93.7,Fog,No,Corporate Plan,Web,True,0
Trp001414,Bk61958297,Cust00952,Neha Bansal,M,22.0,Hyderabad,Rthy033,Miyapur - Kondapur,Miyapur,Kondapur,Ts15Cf5471,Premium Ac,Drv0039,Ananya Pillai,"September 04, 2024",2026-07-30 10:10:00,10:10,2026-07-30 11:09:00,11:09,30.4,403,68.0,Debit Card,Kiosk,D4,Completed,Nan,4.0,17.6,Haze,True,Monthly Pass,Web,N,No
Trp001468,Bk11341505,Cust00577,Ayaan Nair,M,31.0,Chennai,Rtch044,Velachery - Omr,Velachery,Omr,Tn43Cf6491,Ac Seater,Drv0026,Deepak Singh,2024-12-23,2026-07-30 19:10:00,19:09,2026-07-30 19:59:00,19:58,26.1,313,0.0,Cash,Kiosk,B5,Completed,Nan,3.0,88.4,Fog,Yes,Corporate Plan,Web,True,No
Trp002590,Bk59553547,Cust01384,Shalini Kapoor,Male,28.0,Hyderabad,Rthy039,Uppal - Kondapur,Uppal,Kondapur,Ts27Cf9818,Ac Sleeper,Drv0048,Divya Rao,16/02/2024,2026-07-30 07:15:00,Nan,2026-07-30 08:13:00,Nan,25.9,0,0.0,Nan,Website,D5,Cancelled,Bus Breakdown,4.0,58.5,Cloudy,Yes,Monthly Pass,Android,1,No
Trp003197,Bk88109509,Cust00582,Lakshmi Kumar,Male,37.0,Delhi Ncr,Rtde054,Faridabad - Noida Sector 62,Faridabad,Noida Sector 62,Dl11Cf2389,Non-Ac Seater,Drv0089,Rajesh Nair,2024-02-05,2026-07-30 09:40:00,09:40,2026-07-30 10:38:00,10:38,18.7,213,0.0,Wallet,Kiosk,A3,Completed,Nan,4.0,26.6,Cloudy,Yes,Single Ride,Android,Y,No
Trp000847,Bk39556567,Cust00876,Anika Kulkarni,Female,41.0,Chennai,Rtch043,Guindy - Anna Nagar,Guindy,Anna Nagar,Tn49Cf4937,Premium Ac,Drv0013,Vikram Iyer,10-Apr-2024,2026-07-30 20:25:00,20:39,2026-07-30 22:05:00,22:19,33.6,548,0.0,Net Banking,Kiosk,B3,Delayed-Completed,Nan,5.0,47.8,Heavy Rain,True,Corporate Plan,Android,Yes,0
Trp001781,Bk88846720,Cust00062,Priya Mehta,M,36.0,Delhi Ncr,Rtde052,Rohini - Faridabad,Rohini,Faridabad,Dl45Cf1090,Ac Seater,Drv0024,Isha Patel,08/03/2024,2026-07-30 18:05:00,18:21,2026-07-30 19:43:00,19:59,31.0,265,0.0,Credit Card,Website,C12,Delayed-Completed,Nan,5.0,94.2,Haze,True,Weekly Pass,Web,Y,No
Trp000421,Bk56837430,Cust00185,Arjun Chopra,Male,44.0,Pune,Rtpu013,Hadapsar - Kothrud,Hadapsar,Kothrud,Mh23Cf2127,Ac Sleeper,Drv0055,Aditya Mehta,2024-08-15,2026-07-30 10:15:00,10:15,2026-07-30 10:34:00,10:34,9.1,97,10.0,Debit Card,Corporate Portal,D15,Completed,Nan,5.0,67.5,Clear,0,Weekly Pass,Ios,Y,No
Trp001763,Bk36819875,Cust00522,Riya Mehta,Female,29.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh31Cf4644,Ac Sleeper,Drv0071,Kavya Gupta,18-Mar-2024,2026-07-30 10:55:00,10:55,2026-07-30 11:54:00,11:54,22.1,346,0.0,Debit Card,Kiosk,B7,Completed,Nan,4.0,98.1,Rain,True,Corporate Plan,Web,Yes,No
Trp002594,Bk64183857,Cust00231,Ayaan Verma,Male,30.0,Pune,Rtpu020,Aundh - Kharadi,Aundh,Kharadi,Mh05Cf6539,Ac Seater,Drv0002,Vivaan Naidu,"August 08, 2024",2026-07-30 18:05:00,Nan,2026-07-30 19:08:00,Nan,32.8,0,0.0,Nan,Website,D1,Cancelled,Traffic/Weather,4.0,58.5,Haze,1,Corporate Plan,Android,1,0
Trp002175,Bk22466537,Cust00611,Rahul Reddy,M,26.0,Mumbai,Rtmu004,Thane West - Bkc,Thane West,Bkc,Mh05Cf3442,Ac Seater,Drv0030,Sai Bansal,18/05/2024,2026-07-30 15:30:00,15:35,2026-07-30 17:13:00,17:18,41.7,529,151.0,Credit Card,Website,D15,Completed,Nan,4.0,27.9,Rain,0,Monthly Pass,Ios,Yes,No
Trp000242,Bk90563516,Cust00455,Kiara Singh,Male,25.0,Hyderabad,Rthy034,Gachibowli - Hitec City,Gachibowli,Hitec City,Ts41Cf4185,Premium Ac,Drv0006,Anita Naidu,2024-08-18,2026-07-30 13:30:00,13:35,2026-07-30 14:38:00,14:43,20.6,396,0.0,Wallet,Kiosk,B9,Completed,Nan,3.0,50.4,Haze,No,Single Ride,Web,1,0
Trp003102,Bk98195682,Cust00222,Siddharth Pillai,M,47.0,Chennai,Rtch042,Anna Nagar - Porur,Anna Nagar,Porur,Tn01Cf5978,Non-Ac Seater,Drv0075,Sneha Malhotra,2024-09-07,2026-07-30 12:20:00,Nan,2026-07-30 13:33:00,Nan,33.4,0,0.0,Nan,Kiosk,B5,Cancelled,Bus Breakdown,4.0,58.5,Haze,0,Corporate Plan,Ios,True,0
Trp000820,Bk37496608,Cust00623,Arjun Menon,M,27.0,Hyderabad,Rthy038,Hitec City - Kondapur,Hitec City,Kondapur,Ts43Cf2874,Ac Sleeper,Drv0071,Kavya Gupta,2024-09-26,2026-07-30 20:55:00,Nan,2026-07-30 21:35:00,Nan,14.1,0,0.0,Nan,Mobile App,B8,Cancelled,Bus Breakdown,4.0,58.5,Cloudy,1,Single Ride,Android,Y,No
Trp000048,Bk17851976,Cust00896,Ashok Kulkarni,Male,18.0,Hyderabad,Rthy032,Kukatpally - Miyapur,Kukatpally,Miyapur,Ts27Cf8651,Ac Seater,Drv0044,Kalpana Bhat,2024-04-02,2026-07-30 19:30:00,19:30,2026-07-30 21:01:00,21:01,33.1,454,132.0,Credit Card,Website,B8,Completed,Nan,5.0,80.3,Heavy Rain,True,Corporate Plan,Android,1,0
Trp001710,Bk18289151,Cust00654,Sanjay Patel,Female,33.0,Chennai,Rtch042,Anna Nagar - Porur,Anna Nagar,Porur,Tn37Cf5930,Premium Ac,Drv0087,Aarav Naidu,2024-12-13,2026-07-30 17:10:00,17:10,2026-07-30 19:00:00,19:00,33.4,Inr 637,0.0,Net Banking,Mobile App,D6,Completed,Nan,5.0,69.8,Fog,Yes,Corporate Plan,Android,Yes,0
Trp000276,Bk92622134,Cust00188,Manoj Chopra,Male,36.0,Chennai,Rtch045,Adyar - Tambaram,Adyar,Tambaram,Tn03Cf6688,Premium Ac,Drv0057,Arjun Iyer,01/07/2024,2026-07-30 13:40:00,Nan,2026-07-30 14:33:00,Nan,20.9,0,0.0,Nan,Corporate Portal,D9,Cancelled,Driver Unavailable,4.0,58.5,Rain,False,Corporate Plan,Web,Y,No
Trp001169,Bk11897664,Cust01241,Sunita Joshi,Male,35.0,Mumbai,Rtmu002,Andheri East - Thane West,Andheri East,Thane West,Mh31Cf4644,Ac Sleeper,Drv0057,Arjun Iyer,2024-03-11,2026-07-30 17:00:00,17:15,2026-07-30 17:54:00,18:09,24.5,248,0.0,Cash,Website,D14,Delayed-Completed,Nan,5.0,87.7,Rain,Yes,Corporate Plan,Ios,Y,No
Trp001884,Bk90080562,Cust00068,Lakshmi Kulkarni,Other,35.0,Mumbai,Rtmu008,Thane West - Mulund,Thane West,Mulund,Mh07Cf8062,Non-Ac Seater,Drv0015,Kalpana Bansal,20-Jun-2024,2026-07-30 06:05:00,06:05,2026-07-30 07:13:00,07:13,23.5,247,0.0,Debit Card,Kiosk,A10,Completed,Nan,3.0,15.6,Rain,0,Weekly Pass,Ios,True,No
Trp001892,Bk87716706,Cust01108,Krishna Naidu,F,28.0,Hyderabad,Rthy037,Kukatpally - Uppal,Kukatpally,Uppal,Ts09Cf9751,Ac Seater,Drv0087,Aarav Naidu,2024-08-23,2026-07-30 08:15:00,08:15,2026-07-30 08:50:00,08:50,16.0,165,0.0,Cash,Kiosk,B10,Completed,Nan,3.0,40.0,Haze,0,Monthly Pass,Web,Yes,0
Trp003139,Bk83134313,Cust01132,Sunita Naidu,Male,19.0,Pune,Rtpu012,Aundh - Magarpatta,Aundh,Magarpatta,Mh31Cf7669,Ac Sleeper,Drv0035,Aditya Bhat,2024-08-11,2026-07-30 14:00:00,14:00,2026-07-30 15:02:00,15:02,27.6,316,0.0,Wallet,Corporate Portal,D11,Completed,Nan,4.0,19.6,Fog,No,Monthly Pass,Web,Yes,No
Trp001457,Bk45981618,Cust00991,Isha Shah,Female,22.0,Hyderabad,Rthy031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Ts04Cf3697,Premium Ac,Drv0039,Ananya Pillai,22-Mar-2024,2026-07-30 11:50:00,11:50,2026-07-30 13:48:00,13:48,38.9,695,150.0,Debit Card,Website,A13,Completed,Nan,4.0,42.0,Fog,False,Corporate Plan,Web,True,0
Trp003160,Bk99539562,Cust01179,Aarav Iyer,Male,32.0,Chennai,Rtch045,Adyar - Tambaram,Adyar,Tambaram,Tn34Cf6632,Premium Ac,Drv0005,Swati Patel,2024-06-19,2026-07-30 09:20:00,09:24,2026-07-30 10:09:00,10:13,20.9,271,0.0,Wallet,Corporate Portal,B15,Completed,Nan,5.0,93.9,Clear,No,Monthly Pass,Android,0,No
Trp000416,Bk28733307,Cust01215,Divya Joshi,Female,30.0,Mumbai,Rtmu002,Andheri East - Thane West,Andheri East,Thane West,Mh24Cf6038,Ac Sleeper,Drv0074,Rohan Bhat,22-Mar-2024,2026-07-30 14:25:00,14:25,2026-07-30 15:13:00,15:13,24.5,310,0.0,Cash,Website,C8,Completed,Nan,4.0,73.7,Heavy Rain,No,Monthly Pass,Web,Y,No
Trp003173,Bk97102880,Cust00936,Rajesh Gupta,Male,29.0,Delhi Ncr,Rtde052,Rohini - Faridabad,Rohini,Faridabad,Dl28Cf3223,Premium Ac,Drv0077,Isha Malhotra,2024-06-07,2026-07-30 13:15:00,Nan,2026-07-30 14:19:00,Nan,31.0,0,0.0,Nan,Kiosk,C7,Cancelled,Driver Unavailable,4.0,58.5,Cloudy,False,Corporate Plan,Ios,N,0
Trp001706,Bk54496417,Cust01238,Kalpana Malhotra,Male,28.0,Chennai,Rtch044,Velachery - Omr,Velachery,Omr,Tn43Cf6491,Ac Seater,Drv0069,Anika Rao,2024-11-24,2026-07-30 14:15:00,14:55,2026-07-30 15:18:00,15:58,26.1,252,0.0,Net Banking,Corporate Portal,C4,Delayed-Completed,Nan,4.0,44.7,Haze,0,Single Ride,Ios,Y,0
Trp001791,Bk69385246,Cust00275,Diya Kumar,F,27.0,Hyderabad,Rthy031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Ts43Cf7211,Ac Sleeper,Drv0003,Ananya Rao,"December 28, 2024",2026-07-30 12:50:00,12:53,2026-07-30 14:12:00,14:15,38.9,577,51.0,Net Banking,Kiosk,D13,Completed,Nan,4.0,48.5,Cloudy,No,Monthly Pass,Android,Yes,0
Trp002979,Bk24480082,Cust00097,Ramesh Patel,Male,30.0,Pune,Rtpu011,Shivajinagar - Hinjewadi Phase 1,Shivajinagar,Hinjewadi Phase 1,Mh23Cf2127,Ac Sleeper,Drv0030,Sai Bansal,30/12/2024,2026-07-30 15:25:00,15:31,2026-07-30 16:56:00,17:02,39.5,687,0.0,Cash,Website,D7,Completed,Nan,4.0,90.0,Rain,0,Monthly Pass,Web,True,No
Trp001496,Bk53750364,Cust01201,Manoj Reddy,Female,19.0,Pune,Rtpu015,Baner - Kharadi,Baner,Kharadi,Mh19Cf4566,Ac Seater,Drv0057,Arjun Iyer,2024-01-09,2026-07-30 20:20:00,20:20,2026-07-30 21:10:00,21:10,24.4,294,0.0,Net Banking,Mobile App,D13,Completed,Nan,4.0,48.5,Rain,1,Weekly Pass,Android,Y,1
Trp000625,Bk36639171,Cust00665,Sunita Gupta,Male,20.0,Chennai,Rtch043,Guindy - Anna Nagar,Guindy,Anna Nagar,Tn32Cf4919,Non-Ac Seater,Drv0007,Ramesh Gupta,14/09/2024,2026-07-30 12:35:00,12:35,2026-07-30 13:49:00,13:49,33.6,469,0.0,Cash,Corporate Portal,B8,Completed,Nan,3.0,87.3,Fog,False,Weekly Pass,Ios,Yes,0
Trp001627,Bk78571178,Cust00757,Ananya Menon,Male,32.0,Delhi Ncr,Rtde057,Rohini - Indirapuram,Rohini,Indirapuram,Dl42Cf2612,Ac Seater,Drv0043,Geeta Singh,2024-05-10,2026-07-30 20:55:00,20:55,2026-07-30 21:20:00,21:20,10.3,116,0.0,Upi,Kiosk,C12,Completed,Nan,2.0,45.4,Haze,0,Monthly Pass,Android,True,No
Trp000097,Bk97772249,Cust00297,Ashok Chopra,Male,32.0,Hyderabad,Rthy037,Kukatpally - Uppal,Kukatpally,Uppal,Ts02Cf7371,Non-Ac Seater,Drv0036,Siddharth Kumar,2024-02-16,2026-07-30 10:25:00,Nan,2026-07-30 11:07:00,Nan,16.0,0,0.0,Nan,Corporate Portal,B12,Cancelled,Driver Unavailable,4.0,58.5,Clear,Yes,Monthly Pass,Android,Yes,0
Trp001078,Bk97290519,Cust01067,Aman Menon,Male,41.0,Chennai,Rtch050,Tambaram - Adyar,Tambaram,Adyar,Tn43Cf6491,Ac Seater,Drv0072,Vihaan Patel,2024-02-25,2026-07-30 15:50:00,15:50,2026-07-30 16:10:00,16:10,8.4,70,0.0,Credit Card,Kiosk,D13,Completed,Nan,4.0,33.9,Haze,False,Corporate Plan,Web,Y,0
Trp001276,Bk66887676,Cust00803,Vihaan Reddy,Female,25.0,Delhi Ncr,Rtde060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,Dl36Cf5905,Ac Seater,Drv0081,Divya Patel,2024-08-21,2026-07-30 10:10:00,10:10,2026-07-30 11:22:00,Nan,31.3,297,0.0,Debit Card,Website,A8,No-Show,Customer Request,4.0,86.8,Clear,True,Single Ride,Android,Y,0
Trp003172,Bk62459125,Cust00624,Anika Verma,M,19.0,Chennai,Rtch042,Anna Nagar - Porur,Anna Nagar,Porur,Tn29Cf2982,Ac Sleeper,Drv0016,Pooja Rao,2024-10-29,2026-07-30 10:35:00,Nan,2026-07-30 11:52:00,Nan,33.4,0,0.0,Nan,Mobile App,A7,Cancelled,Driver Unavailable,4.0,58.5,Rain,1,Single Ride,Ios,Y,Yes
Trp002638,Bk16314495,Cust00120,Nikhil Kapoor,M,26.0,Mumbai,Rtmu008,Thane West - Mulund,Thane West,Mulund,Mh16Cf7658,Premium Ac,Drv0016,Pooja Rao,"April 03, 2024",2026-07-30 08:50:00,08:53,2026-07-30 09:35:00,09:38,23.5,308,0.0,Cash,Website,D3,Completed,Nan,4.0,50.9,Haze,Yes,Single Ride,Android,1,No
Trp001256,Bk88639452,Cust00831,Krishna Desai,Female,28.0,Delhi Ncr,Rtde060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,Dl19Cf3085,Ac Sleeper,Drv0038,Reyansh Joshi,2024-06-18,2026-07-30 20:10:00,20:10,2026-07-30 21:09:00,21:09,31.3,474,0.0,Debit Card,Mobile App,B11,Completed,Nan,5.0,73.2,Haze,True,Monthly Pass,Android,True,0
Trp002718,Bk37759390,Cust01118,Kalpana Bansal,Male,33.0,Pune,Rtpu020,Aundh - Kharadi,Aundh,Kharadi,Mh05Cf6539,Ac Seater,Drv0059,Aadhya Iyer,2024-09-16,2026-07-30 06:00:00,06:00,2026-07-30 07:06:00,07:06,32.8,277,0.0,Cash,Mobile App,A7,Completed,Nan,5.0,23.7,Heavy Rain,0,Monthly Pass,Ios,Y,No
Trp001314,Bk83502837,Cust00485,Aarav Kumar,Female,33.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh17Cf3925,Non-Ac Seater,Drv0038,Reyansh Joshi,2024-07-22,2026-07-30 17:05:00,17:38,2026-07-30 17:47:00,18:20,22.1,297,0.0,Upi,Mobile App,B11,Delayed-Completed,Nan,4.0,89.7,Heavy Rain,True,Weekly Pass,Web,1,No
Trp001772,Bk86413184,Cust01333,Krishna Menon,Male,27.0,Mumbai,Rtmu009,Thane West - Vashi,Thane West,Vashi,Mh05Cf1964,Ac Sleeper,Drv0011,Siddharth Agarwal,11-Mar-2024,2026-07-30 19:45:00,Nan,2026-07-30 20:53:00,Nan,34.8,0,0.0,Nan,Corporate Portal,A12,Cancelled,Bus Breakdown,4.0,58.5,Cloudy,Yes,Weekly Pass,Ios,Yes,No
Trp003039,Bk20482781,Cust00317,Isha Agarwal,Female,25.0,Chennai,Rtch050,Tambaram - Adyar,Tambaram,Adyar,Tn43Cf6491,Ac Seater,Drv0001,Lakshmi Patel,2024-05-06,2026-07-30 22:25:00,22:29,2026-07-30 22:42:00,22:46,8.4,111,0.0,Net Banking,Website,B11,Completed,Nan,4.0,28.9,Clear,No,Single Ride,Web,Y,0
Trp002596,Bk37368830,Cust01138,Riya Naidu,Male,32.0,Chennai,Rtch046,Omr - T Nagar,Omr,T Nagar,Tn07Cf1828,Ac Seater,Drv0060,Sunita Menon,02-Aug-2024,2026-07-30 08:25:00,08:39,2026-07-30 09:27:00,09:41,32.0,349,0.0,Upi,Corporate Portal,B2,Delayed-Completed,Nan,5.0,42.1,Rain,No,Single Ride,Android,True,0
Trp000818,Bk63635092,Cust01266,Ashok Rao,Female,33.0,Mumbai,Rtmu001,Ghatkopar - Vashi,Ghatkopar,Vashi,Mh36Cf5082,Ac Seater,Drv0076,Arjun Joshi,2024-03-06,2026-07-30 08:30:00,08:30,2026-07-30 09:34:00,09:34,32.5,440,0.0,Net Banking,Mobile App,C6,Completed,Nan,4.0,30.2,Haze,0,Single Ride,Web,True,No
